city,Branch,Latitude,Longitude,Rating,Review Text,Review Date
Riyadh,Al Yasmin,24.8074386,46.661363,5,"جيت للمكان مرتين وبكل الزيارات كانت الخدمة سريعة والجو العام لطيف..
جربت مشروب لومي طعمه عجييب ليمون فريش مع ليمون اسود وجربت الكركديه المديني طعمه رووعة
وافل كريم بروليه شيء مو عااادي خيالي حرفيًا
واللي يحبون الماتشا انصحهم يجربون افوقادو ماتشا جممميل جدًا",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,المكان صغير بس ممكن تلاقي مكان اعطيه وقت وتلاقي والوافل عادي اخذت الكلاسيك وبالبروليه كان طِعم شي يستحق التجربه وصراحة الماتشا بالفانيلا نكهة جديده علي ولذيذة 😋,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,لا يفوتكم اومبا لومبا 😋,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"راااائع جدا ، ومشروب اللومي غريب ولذيذ",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"افلح من ذكر الله وصلى على النبي ﷺ

وافل بطريقه جديده ولذيذه
يجي اربع انواع
سادة ب١٥﷼
شكلاطه
كريم بورليه
شكلاطه دبل
خلطة الشيف حقهم

السعر للمحشي تقريباً ٢٣
القهوه مستواها حلو
حجم المكان متوسط",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"مشهورين بالوافل
عجينة الوافل نفسها لذيذه ..
يعني بتستمتعون بالطعم مهما كانت حشوتكم 😍♥️
ارجع له واوصي عليه الله يبارك لهم 👌
بس المكان جدا صغير",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,3,"جربت الوافل عندة
حلوة ولاكن السعر مرتفع مرة جربت كلاسك ودبل شوكلت ونكهة الشهر فول سوداني وتوت لااكرر التجربة بسبب السعر
وقهوة اليوم بارد جمييلة
المكان مرررة ضيق مافي اماكن للجلوس  الطاولات عددهم محدود",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,لذيذ بشكل فنانن👏🏼,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,1,"المكان صغير وكتمه ،الكراسي وصخه،جوه مو رايق لجلسه، الاسعار مرتفعه الطعم عادي جدا جربت نوعين وافل ..واحد منهم الصدق حرقان وشين الي هو كلاسيك وزياده كم ريال عشان يحط لك فيه شوكلت وطعم الشوكلت وجودته رديئه جدا وقهوه اليوم مو كويسه تحتاج تعديل والموظفين اطفال مافيهم اي احترافيه واحد يعلمني وين اوقف؟ باسلوب مستفز والثاني ياخذ الطلبات ويشرح لك من راس خشمه لا ابتسامه لاتعامل كانه بمطعم شاورما
النظافه ايضا مش ولا بد ناشرين الوافل كله قدام الرايح والجاي ،تجربه ماتتكرر",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,الوافل جميل جدا  ولكن سعره مرتفع للغايه👍🏻,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"احلى وافل وقهوة فيك يالريااااض
وشكرًا للموظف السعودي على اخلاقه ماقصر والله، الله يبارك لكم ويرزقكم❤️",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,3,"المكان صغير جداً
الخدمة جيدة
الاسعار مبالغ فيها جداً
الطلبات
وافل فول سوداني ومربى حلو ١٠/٧
القهوة حلوه ١٠/٧
افقاتو اكسبرس حلو بس سعره مبالغ فيه ب ٢١!! ١٠/٨",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,تغيير النكهات عندهم دايم يخلني ارجع لهم,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"القهوه بالحليب بأنواعها و الوافل من ابدع ما يمكن

الطلب كان وافل ساده + لاتيه",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,"المكان صغير بس ملموم ودافئ 🪟✨
جربت كم نوع من الوافل،

•	الكريم بروليه عادي 👌
•	الدبل تشوكلت طيّمه 🍫
•	وافل أومبا لومبا لذييييذ مره 🤤 بس شوي دسم 🍯
•	والآيس كريم 🤤لذيذ لذيذ لذيييييذ 🍨💚

طلبت لومي مساوي، طعمه غريب شوي بس منعش ولذيذ 🍋🧊

وقهوة اليوم كانت حلوة ☕
وآيس ماتشا كان حليوه 🍵💚

تجربة لطيفة بتكرّر إن شاء الله 🎀",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,الكركديه ممتاز,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"تجربة مميزة
وكل زيارة للرياض كنت أتمنى أجيه

بس ألقى زحمة وانتظار - اتركه - على أمل العودة

يسر الله لي صباح يوم سبت
من المطار على فلوتد

كانت نكهة الشهر الفستق المملح
لذيذة وخفيفة ولا هي دسمة

الوافل مميز وهش ومختلف
جربت قهوة اليوم من محمصة أونا ❤️ لذييييذة

تمنيت تجربة الكريم بروليه والتراميسيو
ولكن لي عودة
والعمالة مميزين ونفوسهم طيبة

والله يبارك لك ي شيف عبدالله
ومن تميز إلى تميز

ولي عودة دائماً عند زيارة الرياض",تاريخ التعديل: قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"Special thanks to the best cashier Mohammed!

كانت تجربتنا افضل مع الكاشير المحترم الخلوق محمد. كل التوفيق",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,وافل الكليجا رهييييب و رجاءاً حافظوا ع صحة ظهور عملائكم رحطو طاولات مرتفعه,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,🎖️,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"القهوة جيدة
والوافل جميع أنواعه حلوه",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,الذ وافل ذقته صرااحه .. تنوع بالنكهات وكل شهر نكهه جديده,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,روووعه ويستحق التجربة,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"في فلوتد تجد افضل وافل بالرياض

جودة ثابته في جميع الفروع

خدمة سريعة و احترافية

يستحق الزيارة و التجربة",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"المكان صغير جداً لكن كوزي. الوافل بورليه كان جيد، والقهوة ممتازة. تجربة بسيطة وحلوة",تاريخ التعديل: قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,جميييل الفول السوداني مع المربى والقهوة من أجمل القهاوي الصراحة والشاب السعودي اسلوب وذرابة ما شاء الله اكيد بمر عليكم مرة ثانيه 👌🏼👌🏼❤️,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,"فلوتد مشهور بالوافل
• المكان صغير والجلسات محدودة
•المكان زحمه
• سريعين بالخدمه

طلبنا/
• ٤ انواع من الوافل
° كليجا ٦ / ١٠ احسن شي فيها جتنا حارة
° كريم بروليه مع توت  ٩ / ١٠  الوافل ما كان حار
° شوكولاته ٩ / ١٠ نفس الشي ما كانت حاره
° وافل شوكولاته الشيف محشيه كاسترد شوكولاته ومعاها شوكولاته مليانه حشوة ٧ / ١٠

• القهوة ممتازة",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,فكرة جديدة وحلوه,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,الطعم جيد وليت تقللون الحشوه او تخلونه في صحن مع شوكه لو حبيت أكله تغميس,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,2,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,"المكان صغير وملموم

طلبنا قهوة اليوم و وافل ايسكريم كليجا، وافل شوكلت وكريم بروليه

الأفضل كان وافل ايسكريم فانيلا كليجا وبعيد تجربته خصوصا اللي شدني حبيبات الفانيلا بالايسكريم رغم نكهات الكليجا طغت على طعم الفانيلا

الأكل ككل والخدمة اقيمها 🎖️🎖️🎖️🎖️

المكان يستحق الزيارة وتجربة الوافل",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,جربت وافل الفول السوداني مرهههه لذيذذ والكاشير انسان محترم وخدوم جداااا👍🏼👍🏼,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,رائع والموظفين اخلااااق,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,"الطعم لابأس به الصدق ذقت وافل احلا ولكن اتوقع انه من الافضل بالرياض
الخدمة كويسة ولكن ! المكان جداً صغير هل اكرر الزيارة لا بعيد عني وغير كذا ذقت وافل الذ بكثير

الله يوفقهم واتمنى يتطورن للمستوى الافضل
🙏🏻",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"اول شي ماشاءالله تبارك الله، الله يبارك
المكان مريح و الجلسة فيه حلوة .
جربت مشروب اللومي مرة باااارد و لذيييذ حلو انه يصير فيه شي جديد خاص بالمكان و الاحلى انه بدون كافيين.
الوافل مرة حلو و خفيف ١٠/١٠",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"الرياض
كفي فلوتد
جيناة مع الهبة ويستاهل
الوافل لذيذ لذيذ انا معجبة بالطعم بكل انواعة ☺️
المكان صغير وزحمة",تاريخ التعديل: قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"جربنا نكهة الشهر شي خياااالي الفول السوداني والمربى اتمنى ماتنقطع، وجربنا بعد الكليجا 😋 خيالي",تاريخ التعديل: قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,تجربة رائعة ونكهات مبتكرة كل شهر اتحمس اجرب النكهة الجديدة,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,1,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,ملاحظة مهمة الاستاذ سليمان الموظف لطيف وبشوش ويخدم بلباقة,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,"The flavor of the month wasn’t so good
I wish the texture of the peanut butter was stronger and richer in flavor",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,2,مو قد المدح الي سمعته,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,قهوتهم لذيذه والوافل بنكهه المربى والفول السوداني عالم ثاني من اللذاذه,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,4,"الوافل لذيذ لكن المكان شوي صغير
بس الحبه الوحده تشبع",قبل شهر
